"","state_code","county_code","site_num","parameter_code","poc","latitude","longitude","datum","parameter_name","sample_duration","pollutant_standard","date_local","units_of_measure","event_type","observation_count","observation_percent","arithmetic_mean","x1st_max_value","x1st_max_hour","aqi","method_code","method_name","local_site_name","address","state_name","county_name","city_name","cbsa_name","date_of_last_change"
"1","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-01,"Micrograms/cubic meter (LC)","None",1,100,6.1,6.1,0,25,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"2","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-04,"Micrograms/cubic meter (LC)","None",1,100,4.9,4.9,0,20,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"3","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-07,"Micrograms/cubic meter (LC)","None",1,100,12.6,12.6,0,52,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"4","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-10,"Micrograms/cubic meter (LC)","None",1,100,11,11,0,46,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"5","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-13,"Micrograms/cubic meter (LC)","None",1,100,3.4,3.4,0,14,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"6","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-16,"Micrograms/cubic meter (LC)","None",1,100,11.6,11.6,0,48,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"7","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-19,"Micrograms/cubic meter (LC)","None",1,100,6.4,6.4,0,27,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"8","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-22,"Micrograms/cubic meter (LC)","None",1,100,12.3,12.3,0,51,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"9","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-25,"Micrograms/cubic meter (LC)","None",1,100,3.7,3.7,0,15,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"10","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-28,"Micrograms/cubic meter (LC)","None",1,100,2.2,2.2,0,9,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"11","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-01-31,"Micrograms/cubic meter (LC)","None",1,100,6.9,6.9,0,29,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"12","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-03,"Micrograms/cubic meter (LC)","None",1,100,5.7,5.7,0,24,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"13","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-06,"Micrograms/cubic meter (LC)","None",1,100,3,3,0,13,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"14","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-09,"Micrograms/cubic meter (LC)","None",1,100,3.7,3.7,0,15,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"15","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-12,"Micrograms/cubic meter (LC)","None",1,100,14.3,14.3,0,56,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"16","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-15,"Micrograms/cubic meter (LC)","None",1,100,11.1,11.1,0,46,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"17","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-18,"Micrograms/cubic meter (LC)","None",1,100,9.3,9.3,0,39,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
"18","36","001","0005",88101,1,42.64225,-73.75464,"WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012",2017-02-21,"Micrograms/cubic meter (LC)","None",1,100,6.6,6.6,0,28,145,"R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric","ALBANY COUNTY HEALTH DEPT","ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS","New York","Albany","Albany","Albany-Schenectady-Troy, NY",2021-11-07
